"","highlight","hclust","colors","GO"
"Sox2","genes related to Prog",1,"#4DBBD5FF","nucleic acid binding"
"Jun","not marked",1,"#B09C85FF","nucleic acid binding"
"Sox9","not marked",1,"#B09C85FF","nucleic acid binding"
"Hes1","genes related to Prog",1,"#4DBBD5FF","nucleic acid binding"
"Vim","genes related to Prog",1,"#4DBBD5FF","nucleic acid binding"
"Etv4","not marked",1,"#B09C85FF","nucleic acid binding"
"Msn","not marked",1,"#B09C85FF","nucleic acid binding"
"Nfe2l2","not marked",1,"#B09C85FF","nucleic acid binding"
"Sox21","not marked",1,"#B09C85FF","nucleic acid binding"
"Hmgb2","not marked",1,"#B09C85FF","nucleic acid binding"
"Hes5","genes related to Prog",1,"#4DBBD5FF","nucleic acid binding"
"Nr2e1","genes related to Prog",1,"#4DBBD5FF","nucleic acid binding"
"Sox8","not marked",1,"#B09C85FF","nucleic acid binding"
"Zfp36l1","not marked",1,"#B09C85FF","nucleic acid binding"
"Slbp","not marked",1,"#B09C85FF","nucleic acid binding"
"Shmt1","not marked",1,"#B09C85FF","nucleic acid binding"
"Top2a","not marked",1,"#B09C85FF","nucleic acid binding"
"Neil3","not marked",1,"#B09C85FF","nucleic acid binding"
"Ddx11","not marked",1,"#B09C85FF","nucleic acid binding"
"Prrx1","not marked",1,"#B09C85FF","nucleic acid binding"
"Eif2ak2","not marked",1,"#B09C85FF","nucleic acid binding"
"Olig1","not marked",1,"#B09C85FF","nucleic acid binding"
"Olig2","not marked",1,"#B09C85FF","nucleic acid binding"
"Klf15","not marked",1,"#B09C85FF","nucleic acid binding"
"Creb3l2","not marked",1,"#B09C85FF","nucleic acid binding"
"Egr1","not marked",1,"#B09C85FF","nucleic acid binding"
"Tead2","not marked",1,"#B09C85FF","nucleic acid binding"
"Fos","not marked",1,"#B09C85FF","nucleic acid binding"
"H1f0","not marked",1,"#B09C85FF","nucleic acid binding"
"Gli3","not marked",1,"#B09C85FF","nucleic acid binding"
"Elk3","not marked",1,"#B09C85FF","nucleic acid binding"
"Litaf","not marked",1,"#B09C85FF","nucleic acid binding"
"Tfap2c","not marked",1,"#B09C85FF","nucleic acid binding"
"Apobec1","not marked",1,"#B09C85FF","nucleic acid binding"
"Fosb","not marked",1,"#B09C85FF","nucleic acid binding"
"Notch1","not marked",1,"#B09C85FF","nucleic acid binding"
"Mcm2","not marked",1,"#B09C85FF","nucleic acid binding"
"Uhrf1","not marked",1,"#B09C85FF","nucleic acid binding"
"Mcm3","not marked",1,"#B09C85FF","nucleic acid binding"
"Rpa2","not marked",1,"#B09C85FF","nucleic acid binding"
"E2f3","not marked",1,"#B09C85FF","nucleic acid binding"
