"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Actb",1,0.643119971481247,0.946811997062331,0.942987407538594,0.95266330752231,0.003905706656502,0.969384484461006,0.828742033940909,0.825016515269982,0.97920091558381,0.120039072022122,0.000564668061253151,0.0607708093942932,0.725823383828797,0.135109821535767,0.695515467771568,0.294009663499188,0.00660424442965116,0.300115067014056,0.554103574910103,0.988079884069889,0.987492577248619,0.121421299068797,0.00611186004985058,0.817390314657134,0.170355992308567,0.905345171700092,0.357630245189274,0.218066011131656,1.6029332645989e-11,0.0797334249544572,0.109413870705125
"Amacr",0.643119971481247,1,0.821833783594462,0.829723672002391,0.854085811894178,0.782288712989987,0.294105507849558,0.530944286803516,0.391663532001795,0.93372366645629,0.116416726427314,0.62930403080793,0.612840686769343,0.689682829267273,0.130010307546367,0.0401714229024681,0.500601668576007,0.365839469884305,0.93404025350814,0.170435893368674,0.962063461048317,0.963808455403343,0.728993655130275,0.563808100936762,0.263333006198611,0.10365357635792,0.228923871031545,0.0782770824327029,0.440840082524624,0.742900062452175,0.863496516254535,0.187751568895105
"Calm1",0.946811997062331,0.821833783594462,1,0.971949455109928,0.976883558642189,0.994166975852558,0.98493541103636,0.786476812562584,0.342095610322637,0.989952018788366,0.178059423881599,0.0112107471506627,0.971902816559936,0.891131998217062,0.418974973720454,0.55170075470341,0.495146665360808,0.134003699448957,0.471552192690908,0.0039977064256164,0.994278284599819,0.99394647574338,0.834346647918829,0.138321049606814,0.70670669746106,0.496637343029672,0.44859565697623,0.452847206478879,0.918983030204152,0.0288209894427253,0.618904099008275,0.711200988401618
"Cox6b1",0.942987407538594,0.829723672002391,0.971949455109928,1,0.974119896308621,0.357601654556176,0.983031976025832,0.383493440300718,0.362287757454867,0.988861051869831,0.787858027393456,0.468171600415754,0.979903871043639,0.896159573332427,0.757679168392156,0.605025293629647,0.696581011728704,0.859743905753681,0.485099314474626,0.228846829857091,0.99368364496761,0.993107468580083,0.840892652481965,0.681897860203206,0.685573246943958,0.126033303476746,0.467927596619509,0.709153683963206,0.315018087973259,0.97549274189696,0.266164577845871,0.668197494595936
"Cox7c",0.95266330752231,0.854085811894178,0.976883558642189,0.974119896308621,1,0.106235860063699,0.986127134531296,0.700680844880688,0.739823871283733,0.990865956674314,0.483541000127403,0.537301615391179,0.758816414880094,0.911114895772904,0.503830488895564,0.624853649864658,0.739054700496808,0.547532830816851,0.551573142225941,0.275052872021151,0.994831812565635,0.994443796254624,0.863864005149445,0.561656107744761,0.73678666887291,0.581893205276409,0.534636613327444,0.538849001836642,0.216118701258559,0.868717602031022,0.858222536551505,0.761893540145585
"Dcx",0.003905706656502,0.782288712989987,0.994166975852558,0.357601654556176,0.1062358600637,1,0.0170783568828581,0.254085306713278,0.0204416553108061,0.671843200239032,3.48032889040167e-95,1.78928657276474e-56,3.57833940545644e-39,0.208624382484242,1.05542713065959e-16,3.51746671310622e-09,2.33353042102686e-23,3.64570959990083e-56,7.94429013815406e-35,2.92017464431063e-59,0.629705564705707,0.620338247842444,1.19732471478372e-14,2.22777914073065e-31,0.000630137237078856,0.785060785246056,0.628690341459549,0.0155882310289657,7.50988567828751e-06,2.64688754894116e-109,2.54772408830127e-20,0.783829928322466
"Erh",0.969384484461006,0.294105507849558,0.98493541103636,0.983031976025832,0.986127134531296,0.0170783568828582,1,0.637364793279417,0.624329874031976,0.994086804361481,0.463070371094279,0.69672261515642,0.983485269533917,0.944494643101603,0.673792461833726,0.75909566723337,0.834777259985669,0.650803175223242,0.707883304411169,0.618329789552846,0.996696084820352,0.996494040238701,0.914636844737509,0.714724535080629,0.341495641251389,0.727168738017141,0.696944271767106,0.430405306858373,0.0811339715647898,0.541428801938259,0.704322133466911,0.780979819668413
"Gapdh",0.828742033940909,0.530944286803516,0.786476812562584,0.383493440300718,0.700680844880688,0.254085306713278,0.637364793279417,1,0.583736689663746,0.744944955950199,2.40947314579993e-06,7.82482233424325e-07,0.148645986414065,0.0755016047393806,0.163959995808158,0.0534759646541913,0.86575505473026,0.180598671302357,0.000155232037865617,0.00716377506002278,0.854283289063159,0.846696505649502,0.0452590448208473,0.000609450483461347,0.290457495340632,0.507265131090972,0.430293805159181,0.701091964484092,0.605507287443305,2.02148149414077e-05,0.0992889499791301,0.109876187974078
"Golph3",0.825016515269982,0.391663532001795,0.342095610322637,0.362287757454867,0.739823871283734,0.0204416553108061,0.624329874031976,0.583736689663746,1,0.366550275629112,0.00287825170875246,0.00134538420328248,0.185135477088695,0.0146549392424279,0.262982167122605,0.732282593100828,0.212999324500369,0.77864091370378,0.00118791998383589,0.0439927182704815,0.841627827870973,0.847506946098863,0.609973353569972,0.00277318112946735,0.369181834747703,0.309458509062388,0.108336579547339,0.625050184726321,0.267931384380569,0.000964359124697886,0.014260794884124,0.291516132009047
"H3f3a",0.97920091558381,0.93372366645629,0.989952018788366,0.988861051869831,0.990865956674314,0.671843200239032,0.994086804361481,0.744944955950199,0.366550275629112,1,0.348564948564173,0.779765853945858,0.658395984910898,0.959804752683839,0.342143586533953,0.824255286464896,0.275944474424193,0.192775057747418,0.326916443578129,0.61724401889084,0.997887503267275,0.997865386152132,0.938289475728632,0.792245434879419,0.881676392843317,0.799974048417371,0.332572991091145,0.779437425220706,0.415768371794579,0.667369675457006,0.228180789065392,0.536130442893314
"Hes1",0.120039072022122,0.116416726427314,0.178059423881599,0.787858027393456,0.483541000127403,3.48032889040117e-95,0.463070371094279,2.40947314579993e-06,0.00287825170875246,0.348564948564173,1,6.26978631236369e-133,2.38769509545506e-44,0.0193157811827122,6.34280811529926e-11,5.12938702004102e-06,5.28939446945399e-47,2.22006232788234e-46,9.67628747485712e-94,4.14294414686808e-72,0.857831808903403,0.860393080978904,1.00048090571752e-36,1.52677230508413e-89,0.00783149501186122,0.000776587529016503,0.0558182105072725,0.0391328794073409,3.15168390444296e-11,1.92157645688575e-165,1.52465568801293e-31,0.00926500433522134
"Hes5",0.000564668061253152,0.62930403080793,0.0112107471506627,0.468171600415754,0.537301615391179,1.78928657276463e-56,0.69672261515642,7.8248223342433e-07,0.00134538420328248,0.779765853945858,6.26978631236369e-133,1,1.26051977216592e-18,0.612350827171918,1.28679417431271e-08,6.7590262847094e-06,3.1658117604232e-34,9.97494938133265e-31,2.36718440916789e-92,5.42004377609933e-108,0.874493052655447,0.87678572397876,3.95357230501245e-38,4.09700009915491e-108,0.00697763072809151,0.000145502368748878,0.431659232239243,0.0994785749788792,3.12108112804288e-08,2.2501841090688e-111,1.67872665763672e-30,0.00386279817894162
