"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Actb",0,-0.00874516004778487,0.238933109825196,0.057827425336268,0.00563942412601226,0.163071724355229,-0.111013012393106,-0.0838291673476649,-0.0062272534786063,-0.0833163409419908,-0.197174635004319,-0.265982491676244,0.115075898487581,0.0723510401679793,0.129228944753258,0.0613204257112082,-0.120351902794321,0.197977268102863,-0.175876369067877,-0.264700720313843,-0.0481731389328807,-0.198125987690356,-0.11665768492467,-0.200420184744716,-0.111400408959534,-0.0304719257131839,-0.0347080901596593,-0.0330483543912674,-0.00439491881886137,0.339737467697204,-0.193994823994908,-0.0195817824022804
"Amacr",-0.00874516004778487,0,0.0452755662686346,0.0412865396148136,0.0272866380221568,0.00784019089892972,0.0180168257634825,-0.000431416592826847,0.011440033523189,-0.00575418094681254,0.0248551466862928,0.00378309345896083,-0.00607784657565917,0.0020881180052921,0.0317175057863547,0.0560358782950455,-0.00560307271437895,-0.0271858006290493,0.00237906806528826,-0.0336076726890584,0.0735359163318513,-0.0189058084329388,-0.0170243796244976,-0.0169237613234414,-0.00333956313329054,-0.0452017008492251,-0.0223773915390377,-0.0349865000291183,0.00884616737697913,0.0175784885757149,0.00472457734171456,0.0255615944806898
"Calm1",0.238933109825196,0.0452755662686346,0,0.0750363181178627,0.0447943338103667,0.267039412896403,-0.0812472895666275,-0.171376165996143,-0.0178875214185018,-0.0284243772631275,-0.322999974443159,-0.345525475961839,0.168624503358204,0.00555993346631822,0.165134980473923,0.0860786820215384,-0.172307721226534,0.250569291313083,-0.280898029646318,-0.391510222805754,-0.0488435234044765,-0.233627445470349,-0.220758971996565,-0.319658157047973,-0.150478310392607,-0.0481396366098031,-0.0308551309641472,-0.0251928323744111,0.0621414205726595,0.483570641136112,-0.307885400336849,-0.0490889855210349
"Cox6b1",0.057827425336268,0.0412865396148136,0.0750363181178627,0,0.112765389085337,-0.016440618200881,-0.0186969961112871,-0.000297923592259455,0.00501428400446754,-0.0811621892681999,-0.0391387575510789,-0.0598709517265363,-0.0396945558336488,0.0070131881725641,0.0901006643907543,0.0388756230007024,-0.0404778746136823,-0.00946976131898233,-0.0690014289966702,-0.0974873495015,0.127242448058851,-0.0732964797623401,-0.0536308781051378,-0.0622064336188241,0.0416332737955566,-0.029865221856368,-0.0206854558826721,0.0177402251022122,-0.0108080495477063,0.0411387682677455,-0.0333007700860514,-0.00875965478386625
"Cox7c",0.00563942412601226,0.0272866380221568,0.0447943338103667,0.112765389085337,0,-0.0259635895033976,0.031805536751819,0.102926137358651,-0.0040197091894467,-0.0983612964317049,0.0123761191230811,0.0263959943220044,-0.0357888464735616,-0.0280273830905311,0.0859984823561134,0.0515197577238434,-0.00312445506682443,-0.0653638329599735,-0.00510940585953778,0.0316894937477509,0.173720455609041,-0.0433675600927975,0.0148466833999505,-0.011097335921695,0.0827843673593231,-0.0033888407137221,-0.0103776947667239,-0.0188482286934345,0.0186051583757897,-0.047397069778621,0.0349994655847544,0.0611532702182321
"Dcx",0.163071724355229,0.00784019089892972,0.267039412896403,-0.016440618200881,-0.0259635895033976,0,-0.0804434021185759,-0.151271883285781,-0.0244482889361681,0.0410420921354668,-0.407218069642206,-0.341150170240308,0.311152138031707,0.00434732302710714,0.164199099634947,0.130045146639142,-0.19517843166975,0.296160934117101,-0.265231751788249,-0.361147192404512,-0.250632103220859,-0.150871725138735,-0.139064296133072,-0.265258649097166,-0.218365468472406,0.0320093377731642,0.0147464034291318,-0.0297829275546289,0.0809166396424122,0.514512257022244,-0.35897361406798,0.0108725949999832
"Erh",-0.111013012393106,0.0180168257634825,-0.0812472895666275,-0.0186969961112871,0.031805536751819,-0.0804434021185759,0,0.116134597307159,0.0155373740954528,0.125321993572005,0.0929762319493486,0.210076365659548,-0.0874522626840949,-0.0349629288685319,-0.0509203679535473,-0.0332593943346875,0.135927124027527,-0.0551400975916956,0.154194046284963,0.2376486710355,0.14104478455925,0.107546239319082,0.0738504454434516,0.188696507760658,0.0666540447582768,-0.0186311854549189,0.00771153079206256,-0.00140765313540353,-0.0981784406574987,-0.113448241521467,0.172605548151387,-0.0113583016042853
"Gapdh",-0.0838291673476649,-0.000431416592826847,-0.171376165996143,-0.000297923592259455,0.102926137358651,-0.151271883285781,0.116134597307159,0,0.0219174236067844,0.0215808946880091,0.203472219324024,0.238481412937999,-0.113444527024488,0.0443768882872408,-0.025443420326729,0.00421052663675152,0.080358005976414,-0.144439233636861,0.182429439092434,0.2040758051678,0.243475749175773,0.0828210088701444,0.117668226005843,0.176538947300332,0.168526079787967,0.0343614737772918,-0.010132749782135,0.0108078922783937,-0.0268869578062892,-0.247967787770289,0.193927598972447,0.0510379784881685
"Golph3",-0.0062272534786063,0.011440033523189,-0.0178875214185018,0.00501428400446754,-0.0040197091894467,-0.0244482889361681,0.0155373740954528,0.0219174236067844,0,-0.0248965135453708,0.056566230227852,0.0503847444560269,-0.0173724106400878,0.0379929538053766,0.0202941443795009,0.000653263861310517,0.0141112139125984,-0.0186480903815998,0.0396527644060929,0.0472066619611551,0.00554029665326484,-0.0264750671780723,-0.00761677680402743,0.0596373105985481,0.0273758137974239,0.011002890770627,0.0375601514013788,0.00148921638164122,-0.0309115731675635,-0.057460875358566,0.0434690538691986,-0.0143720542795881
"H3f3a",-0.0833163409419908,-0.00575418094681254,-0.0284243772631275,-0.0811621892681999,-0.0983612964317049,0.0410420921354668,0.125321993572005,0.0215808946880091,-0.0248965135453708,0,-0.0398226702725447,0.0332738205501777,-0.039307556159598,-0.016962074767067,-0.169494622044894,-0.0930577636304666,0.0180592309109378,0.195183627818906,0.0414124469470277,0.123130101873765,-0.0540618370336673,0.103607376509595,0.048100683847319,0.078480653252491,-0.0382406813817093,0.00995865782064647,-0.0380409391761091,-0.0400096396675317,3.00852289661907e-05,0.0065601990914724,0.0150747685216696,-0.0351841866465128
