"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Actb",0,-0.0139648771507339,0.276894290620276,0.0566745240544874,0.00196044878337968,0.188426434510833,-0.144722422509113,-0.117835419826442,0.00227218763920624,-0.0625165128983969,-0.242043428576619,-0.286740705729334,0.134628989065769,0.0754999935642561,0.156927782365973,0.0815209390929571,-0.145487988922034,0.247877716599556,-0.204507719228282,-0.306525429723691,-0.0578862114515905,-0.220605368942026,-0.144335551042429,-0.23591890129743,-0.185987855323693,-0.0405608638757142,-0.0394039885720509,-0.0457439386720128,-0.00825237647611314,0.334679108756981,-0.178272956639824,-0.00462503100876085
"Amacr",-0.0139648771507339,0,0.0503805579075252,0.0333280529110479,0.0318547802394818,0.00470261736264216,0.0204679615321275,-0.000575285883533816,0.0230419105794568,-0.020518132829145,0.0326361417999029,-0.00533849644626185,-0.000985222748364473,0.00340535080050151,0.0401157938950944,0.0592695077385737,0.00238178737964511,-0.0246185144937713,0.00735091304285889,-0.0286585375970468,0.0777569303222585,-0.0242661378553926,-0.00212722448168159,-0.00913917396478852,0.0104234712281731,-0.0367577035871419,-0.0185515448557171,-0.0355386396614815,0.0184263058355213,0.0313361665993317,0.00598575547181221,0.0351080165129053
"Calm1",0.276894290620276,0.0503805579075252,0,0.101831727751925,0.0548650898705427,0.208444064669468,-0.0946191558072888,-0.163861215401961,-0.0253251002119143,0.0043380722302254,-0.333366707148496,-0.319010864609114,0.128575648973329,-0.00266283596353016,0.185920437940386,0.0905731602966664,-0.178865379136911,0.262348991311896,-0.278334767236014,-0.349413886848224,-0.0232775096889987,-0.225460388021366,-0.200928402513592,-0.313715707614212,-0.168844221775806,-0.0545408042380914,-0.023241544296451,-0.0220623738003618,0.0691758903810038,0.39222013501171,-0.256225404003703,-0.0481216940740619
"Cox6b1",0.0566745240544874,0.0333280529110479,0.101831727751925,0,0.129914179467152,-0.0360868947339631,-0.0150545373366595,-0.00629728719634227,-0.00618050860840873,-0.0884116296525964,-0.0449103602712513,-0.0622342573036417,-0.0445232947375789,0.00291697439111071,0.102357599475705,0.0552569792832284,-0.0487664295749363,-7.27452627267009e-05,-0.0783811948107737,-0.105887232698237,0.129042473928306,-0.0823866151479596,-0.0684978180295251,-0.0615296554710415,0.0340368451762266,-0.0238252873319323,-0.0296320283005066,0.0194102279032813,-0.00986900572993859,0.029793055881271,-0.0402249007762623,-0.0177325100168659
"Cox7c",0.00196044878337968,0.0318547802394818,0.0548650898705427,0.129914179467152,0,-0.0355066676517649,0.030886757373492,0.0825294256015138,-0.00176934237716314,-0.0934364733540076,0.0109962607182239,0.0196629505497927,-0.0507572077535506,-0.04198408778012,0.100054548285308,0.0539892368226734,-0.00151530938174388,-0.0651135003648387,-0.00981034907259691,0.0104895366871124,0.156646643274503,-0.0433127480470261,0.00685863446527421,-0.0190901410016606,0.079313173934075,0.00660276551826584,-0.00917993852944074,-0.0236753024050399,0.0242741216587666,-0.0321456520065715,0.0217775475632321,0.050106500425342
"Dcx",0.188426434510833,0.00470261736264216,0.208444064669468,-0.0360868947339631,-0.0355066676517649,0,-0.119086404317306,-0.178079287474389,-0.0225524134216923,0.0309189449742447,-0.387473396206894,-0.309437402055678,0.282200344468049,0.0186359943921687,0.165168971830565,0.129146776312795,-0.180597754992737,0.28936632445421,-0.236361494454449,-0.324217006837626,-0.250537489136016,-0.141695190725525,-0.132809895296197,-0.235314541636867,-0.237204124878407,0.0354099514982716,0.0222494510004089,-0.0241994488866462,0.0855607979169643,0.349913085403515,-0.296228660687821,0.015305337196829
"Erh",-0.144722422509113,0.0204679615321275,-0.0946191558072888,-0.0150545373366595,0.030886757373492,-0.119086404317306,0,0.139347945454799,0.0152697545694534,0.111582864746428,0.136884651356823,0.231413222313577,-0.110858031385653,-0.047671826735619,-0.076803957165268,-0.0648339018055658,0.144778634123622,-0.0812614559901656,0.167022631770725,0.250061304379818,0.146697111717345,0.127224520839585,0.0832950201392956,0.195423877976624,0.0917456472229275,-0.0243250419795237,-0.00721980343706208,0.00400437590955254,-0.104620372807394,-0.0912758114822294,0.178422457039946,-0.0181823553770096
"Gapdh",-0.117835419826442,-0.000575285883533816,-0.163861215401961,-0.00629728719634227,0.0825294256015138,-0.178079287474389,0.139347945454799,0,0.0243923625831308,0.0384408738188629,0.22684562105477,0.249941391869331,-0.13611324890574,0.0419117766748522,-0.0359080963213416,-0.00828744492755025,0.108662073753796,-0.171684520922208,0.193520162241681,0.214874306144369,0.263806613593722,0.0980727615218179,0.138151196997206,0.18782132905939,0.185417106625836,0.0541787732855499,0.00739810031445453,0.0205875247734487,-0.0169260647247294,-0.195640187100353,0.173441855055009,0.0475531660635904
"Golph3",0.00227218763920624,0.0230419105794568,-0.0253251002119143,-0.00618050860840873,-0.00176934237716314,-0.0225524134216923,0.0152697545694534,0.0243923625831308,0,-0.0362718505813729,0.0623384953044655,0.065900937917355,-0.0119471429768665,0.0601524506480872,0.0323692187790136,0.0068232174384613,0.0270098265401171,-0.014345696372404,0.0631178232993964,0.0533977120423721,0.013976612993565,-0.0183007859966714,-0.0022950608409249,0.0636138023924358,0.0361376199165618,0.0274504792461777,0.0467538316731854,0.00587735890589817,-0.0218649528572173,-0.0575019551444297,0.0462092084893507,0.00614936182904956
"H3f3a",-0.0625165128983969,-0.020518132829145,0.0043380722302254,-0.0884116296525964,-0.0934364733540076,0.0309189449742447,0.111582864746428,0.0384408738188629,-0.0362718505813729,0,-0.0399554902615616,0.0313297503262111,-0.0477400026991259,-0.033543381781388,-0.178181578362211,-0.115716193967959,0.0225623785001086,0.191701266665366,0.0400157791186964,0.133700990056458,-0.0438415593723626,0.0996308026627894,0.0525518728114558,0.0784014035872243,-0.0135297739885036,-0.00698159171885363,-0.0493010307414967,-0.0580078826381545,-0.00329678818659454,-0.0229854171292754,0.0128084720880062,-0.0449745278088864
